
reset session
set terminal png size 800, 600
FILE = "plot.dat"
9 356.829987 284.079987
9 353.035004 264.250000
9 357.557495 278.153320
9 353.342499 282.709991
9 353.888763 274.160004
9 353.218750 281.663330
9 347.991241 264.553345
9 354.140015 282.983337
9 355.892487 283.226654
10 372.882507 258.236664
9 353.214996 275.771667
9 355.190002 279.420013
9 359.472504 287.516663
9 348.012512 263.791656
9 348.920013 270.920013
9 355.422485 276.239990
9 348.695007 265.179993
9 357.902496 278.116669
9 352.454987 282.883331
9 354.184998 280.941681
10 376.429169 263.476654
9 355.492493 286.063324
9 354.567505 270.993347
9 360.285004 294.253326
9 350.024994 280.765015
9 364.356262 302.906677
9 347.707489 280.521667
9 356.597504 278.989990
9 352.803741 271.973328
9 357.352509 277.404999
9 363.170013 290.375000
10 372.972504 254.243332
9 354.567505 274.233337
9 354.839996 272.174988
9 354.795013 283.153320
9 353.567505 272.003326
9 360.987488 294.956665
9 348.140015 262.054993
9 355.342499 278.683319
9 347.001251 259.494995
9 357.559998 277.980011
9 353.950012 271.956665
10 370.437500 256.686676
9 351.535004 275.768341
9 350.912506 269.500000
9 344.872498 278.963348
9 354.369995 288.584991
9 353.962494 270.308319
9 347.260010 266.524994
9 351.135010 271.779999
9 356.255005 282.298340
9 354.447510 281.526672
9 355.957489 282.841675
10 366.897491 255.183334
9 352.602509 279.183319
9 346.880005 264.006653
9 357.702515 273.760010
9 350.385010 281.136658
9 347.899994 265.623322
9 362.184998 288.706665
9 352.654999 274.973328
9 347.394989 257.293335
9 349.907501 272.981659
9 348.535004 283.563324
10 369.647491 264.053345
9 347.857513 262.260010
9 352.487488 257.923340
9 351.595001 277.013336
9 353.345001 271.000000
9 363.291260 285.746674
9 350.057495 273.333344
9 359.954987 282.446655
9 343.202515 264.211670
9 354.742493 276.126678
9 358.552490 286.798340
10 377.613739 269.473328
9 352.317505 278.901672
9 358.777496 273.356659
9 350.297485 277.019989
9 347.450012 276.500000
9 355.012512 270.519989
9 354.902496 276.815002
9 348.567505 269.083344
9 353.807495 275.255005
9 354.600006 272.859985
9 353.549988 270.446655
0 416.709991 239.496674
10 369.957489 249.706665
10 368.144989 249.289993
10 372.170013 254.026672
10 373.077515 259.786652
10 369.212494 250.130005
10 376.512512 258.966675
10 374.339996 262.970001
10 374.469177 264.156677
10 365.804993 251.210007
10 371.887512 254.376663
0 420.010010 241.903336
10 372.279999 261.003326
10 366.027496 238.726669
10 379.317505 275.726654
10 366.450012 253.523331
10 365.622498 252.990005
10 379.133759 268.263336
10 369.209991 249.816666
10 374.510010 253.639999
10 374.184998 260.700012
10 363.922485 257.426666
0 411.202515 234.236664
10 378.072510 271.986664
10 376.497498 261.203339
10 374.964996 262.263336
10 374.322510 254.509995
10 369.899994 264.279999
10 377.107513 265.136658
10 374.964996 262.693329
10 383.452515 269.208344
10 362.012512 250.653336
10 377.852509 259.968323
0 417.214996 241.553329
10 375.017487 253.699997
10 379.475006 271.013336
10 360.777496 244.080002
10 376.387512 256.586670
10 384.880005 271.084991
10 369.554993 259.440002
10 381.480011 270.146667
10 376.670013 261.986664
10 371.507507 258.433319
10 387.630829 277.209991
0 427.019989 251.306671
10 381.635010 267.154999
10 361.565002 252.173340
10 367.584991 252.850006
10 379.514160 264.353333
10 371.334991 248.759995
10 375.492493 254.970001
10 372.223328 253.576660
10 369.970001 255.323334
10 370.357513 248.496674
10 378.657501 274.703339
0 432.692505 247.776672
10 373.984985 259.066681
10 373.942505 266.723328
10 373.928345 259.643341
10 380.790009 264.356659
10 373.127502 256.506653
10 369.639160 261.500000
10 381.687500 270.279999
10 372.165009 268.274994
10 381.287506 261.276672
10 368.236664 251.100006
0 412.239990 237.173340
10 366.837494 248.713333
10 379.062500 260.606659
10 369.130829 258.470001
10 379.287506 264.684998
10 376.367493 263.943329
10 372.309998 244.856674
10 363.209991 245.666672
10 375.434998 266.823334
10 373.986237 257.268341
10 366.815826 252.826660
0 420.242493 242.613327
10 377.484985 260.896667
10 368.675842 252.779999
10 374.945007 253.979996
10 369.607513 257.566681
10 377.602509 257.250000
10 370.864990 251.256668
10 373.703339 259.579987
10 369.720825 250.133331
10 363.267487 255.009995
10 377.033325 268.046661
0 411.257507 234.266663
0 410.302490 226.496674
1 433.052490 253.660004
1 412.642487 231.089996
11 391.706665 240.683334
11 395.157501 240.309998
11 398.260010 248.720001
11 385.057495 226.720001
11 388.654999 237.429993
11 395.232513 240.118332
11 395.445007 244.115005
11 391.316681 236.160004
0 425.704987 243.403336
11 393.315002 239.443329
11 386.167511 231.131668
11 398.862488 243.115005
1 428.230011 244.550003
11 398.274994 243.623337
11 382.385834 232.406662
11 388.548340 235.566666
11 390.886658 236.653336
11 389.815002 238.913330
11 395.424988 248.633331
0 419.237488 236.243332
11 400.551666 246.506668
11 389.255005 240.481674
11 392.992493 240.963333
11 406.958344 258.306671
11 405.110840 253.726669
1 406.140015 231.856674
11 392.459991 238.443329
11 399.255005 248.563339
11 395.235840 243.546661
11 406.855011 250.671661
0 423.802490 243.353333
11 389.787506 235.229996
11 394.950012 239.946671
11 386.730011 231.774994
11 394.149170 241.683334
11 393.337494 242.486664
11 397.179993 242.836670
11 401.093323 251.456665
1 413.535004 234.190002
11 400.140015 244.809998
11 400.757507 248.663330
0 416.582489 241.076660
11 390.445007 236.763336
11 394.522491 245.490005
11 397.581665 248.313339
11 385.162506 228.649994
11 398.529999 240.419998
11 387.869995 234.813339
11 393.214996 240.929993
11 389.714996 238.373337
11 392.682495 237.243332
1 425.529999 239.873337
0 416.390015 227.539993
11 393.748322 240.116669
11 401.833344 247.376663
11 396.680847 240.266663
11 378.947510 220.039993
11 393.545013 243.398331
11 394.034180 240.940002
11 397.823334 248.020004
11 397.505005 248.796661
11 396.287506 243.580002
11 401.884155 238.610001
0 426.322510 242.266663
11 395.297485 238.256668
1 422.130005 242.976669
11 390.070007 240.341660
11 401.377502 250.356674
11 387.412506 230.383331
11 392.452515 239.143326
11 392.019989 238.203339
11 404.850006 254.589996
11 399.667511 245.210007
11 400.495819 251.009995
0 417.162506 235.479996
11 395.505005 249.088333
11 402.431671 248.633331
11 395.570007 240.960007
1 408.797485 231.896667
11 400.970001 248.391663
11 402.082489 249.708328
11 402.364990 246.136673
11 395.297485 242.050003
11 388.755005 237.343338
11 383.082489 226.970001
0 427.927490 239.676666
11 390.472504 237.756668
11 396.487488 238.779999
11 399.415009 241.419998
11 396.475006 241.921661
11 385.112488 231.899994
1 418.672485 243.803329
11 399.197510 252.625000
11 391.714996 233.346664
11 394.305847 241.156662
11 391.535004 238.193329
0 420.584991 237.926666
11 396.365845 236.406662
11 395.537506 241.220001
11 387.673340 230.516663
11 394.577515 246.860001
11 390.864990 236.729996
11 392.820007 234.753326
11 391.994171 238.203339
1 429.582489 242.309998
11 388.782501 238.313339
11 397.845001 246.856674
0 420.250000 238.639999
0 411.464996 229.523331
11 393.727509 232.581665
11 386.189178 230.873337
11 402.912506 246.940002
11 384.785004 234.896667
11 392.652496 236.369995
11 406.496674 254.003326
11 389.797485 235.966660
11 394.024994 234.880005
11 397.355835 241.206665
1 416.512512 238.610001
0 429.427490 246.113327
11 393.442505 236.756668
1 423.489990 244.216660
1 419.674988 241.289993
1 415.105011 239.246674
1 415.047485 230.853333
1 420.505005 240.436661
1 418.029999 234.573334
1 424.272491 236.895004
1 420.339996 244.000000
1 415.975006 243.539993
0 419.489990 237.839996
1 422.839996 241.443329
1 424.632507 243.059998
1 410.709991 235.770004
1 418.282501 231.823334
1 420.197510 244.356674
1 411.545013 227.233337
1 423.812500 245.173340
1 419.197510 238.860001
1 414.369995 235.376663
1 422.765015 242.399994
0 428.642487 249.873337
1 433.077515 251.639999
1 422.309998 234.461670
1 419.042511 239.526672
1 419.047485 235.789993
1 423.467499 243.363327
1 421.804993 239.716660
1 415.595001 236.750000
1 418.892487 235.729996
1 414.532501 236.463333
1 428.779999 249.166672
0 412.342499 231.223328
1 430.627502 257.793335
1 427.432495 248.389999
1 417.554993 226.470001
1 415.347504 239.296661
1 422.864990 244.800003
1 413.422485 234.399994
1 426.875000 243.886673
1 419.029999 239.380005
1 416.817505 232.953339
1 422.517487 246.383331
0 424.457489 245.630005
1 433.312500 245.176666
1 418.427490 231.446671
1 430.154999 233.363327
1 427.042511 239.923340
1 409.947510 222.186661
1 427.252502 244.066666
1 425.677490 251.056671
1 414.432495 235.596664
1 421.040009 232.330002
1 410.575012 231.403336
0 433.385010 252.533340
1 429.147491 233.628326
1 416.637512 242.713333
1 405.762512 224.633331
1 423.415009 241.846664
1 409.852509 231.193329
1 416.852509 239.509995
1 413.760010 231.043335
1 426.105011 244.736664
1 417.572510 237.543335
1 411.684998 236.023331
0 436.529999 259.473328
1 423.632507 244.336670
1 425.087494 250.210007
1 416.545013 235.346664
1 402.587494 222.773331
1 426.195007 246.083328
1 420.562500 241.316666
1 425.337494 243.573334
1 416.252502 231.373337
1 409.269989 226.809998
1 423.774994 237.326660
0 421.864990 248.653336
1 422.742493 244.046661
1 424.325012 245.570007
1 418.315002 238.393326
1 424.532501 239.473328
1 422.047485 245.199997
1 411.157501 234.813339
1 428.769989 248.206665
1 416.202515 231.096664
1 425.690002 239.856674
1 426.962494 251.619995
0 418.214996 238.070007
1 418.357513 246.256668
1 419.239990 234.963333
1 420.692505 243.630005
1 427.649994 243.046661
1 407.197510 229.633331
1 430.640015 250.843338
1 415.557495 229.270004
1 417.369995 234.940002
1 423.032501 241.479996
1 416.377502 240.666672
0 422.554993 235.429993
0 417.892487 231.956665
2 419.065002 239.771667
2 421.359985 242.973328
2 415.640015 241.460007
2 421.334991 229.291672
2 404.795013 233.449997
2 413.260010 247.598328
2 410.337494 237.339996
2 408.640015 229.906662
2 416.817505 247.036667
2 407.967499 236.503326
0 422.322510 238.013336
2 410.184998 233.625000
2 414.739990 237.690002
2 400.042511 228.768326
2 409.135010 241.883331
2 419.154999 237.473328
2 427.075012 244.983337
2 407.820007 231.033340
2 415.167511 227.470001
2 415.279999 243.616669
2 406.065002 231.824997
0 433.462494 256.540009
2 415.704987 232.076660
2 415.635010 237.883331
2 418.200012 246.586670
2 415.709991 241.289993
2 420.100006 242.026672
2 410.577515 230.229996
2 415.809998 244.869995
2 412.977509 226.046661
2 416.410004 232.005005
2 412.772491 233.520004
0 433.174988 248.770004
2 409.732513 232.646667
2 412.640015 231.913330
2 416.095001 237.338333
2 423.567505 246.963333
2 417.647491 239.793335
2 410.502502 231.464996
2 425.517487 246.946671
2 406.302490 231.713333
2 418.209991 237.654999
2 414.804993 246.110001
0 412.899994 228.866669
2 403.484985 237.235001
2 413.334991 240.750000
2 416.609985 240.539993
2 421.755005 247.956665
2 405.022491 238.125000
2 412.029999 234.293335
2 409.017487 228.221664
2 425.910004 230.436661
2 420.839996 239.630005
2 411.394989 236.213333
0 424.657501 245.309998
2 419.547485 232.586670
2 419.744995 246.233337
2 416.429993 231.488327
2 413.450012 240.759995
2 414.587494 237.380005
2 420.829987 243.336670
2 415.467499 241.776672
2 431.897491 242.743332
2 421.457489 238.876663
2 432.135010 257.416656
0 421.177490 236.646667
2 413.377502 237.396667
2 407.442505 240.669998
2 414.005005 242.338333
2 418.197510 238.193329
2 413.487488 244.576660
2 413.429993 232.216660
2 414.032501 246.386673
2 401.880005 231.929993
2 412.807495 237.100006
2 415.422485 235.046661
0 418.750000 239.433334
2 415.765015 243.036667
2 413.239990 239.460007
2 414.432495 230.918335
2 413.209991 220.938339
2 406.672485 237.601669
2 421.010010 231.553329
2 397.652496 224.513336
2 414.952515 232.610001
2 411.890015 241.541672
2 415.017487 233.403336
0 420.007507 246.529999
2 409.302490 241.190002
2 426.454987 245.563339
2 404.887512 233.490005
2 420.937500 239.774994
2 424.117493 248.293335
2 418.779999 237.199997
2 423.282501 241.696671
2 418.882507 245.440002
2 416.630005 240.226669
2 419.122498 242.926666
0 420.077515 238.926666
2 432.529999 260.223328
2 411.850006 244.429993
2 409.262512 238.198334
2 420.000000 251.869995
2 397.290009 223.601669
2 411.839996 232.153336
2 414.519989 238.696671
2 420.654999 245.476669
2 415.734985 240.303329
2 418.092499 244.611664
0 423.152496 239.889999
0 418.779999 229.380005
3 408.940002 232.139999
3 409.904999 230.360001
3 411.964996 226.610001
3 407.397491 229.065002
3 413.364990 247.906662
3 411.005005 238.233337
3 401.692505 226.461670
3 410.162506 231.333328
3 402.797485 238.496674
3 412.619995 237.933334
0 420.095001 237.110001
3 414.605011 238.786667
3 404.952515 234.508331
3 417.692505 244.934998
3 410.942505 243.336670
3 418.575012 250.893326
3 414.612488 246.354996
3 416.107513 239.826660
3 418.024994 242.493332
3 409.549988 230.456665
3 405.355011 233.121674
0 415.709991 238.210007
3 412.657501 236.043335
3 409.707489 235.908340
3 413.049988 246.106674
3 416.605011 242.413330
3 417.054993 236.346664
3 425.087494 247.306671
3 402.242493 236.096664
3 419.130005 241.156662
3 421.512512 245.134995
3 419.002502 239.326660
0 421.727509 245.740005
3 408.362488 236.850006
3 400.047485 226.485001
3 414.082489 248.028336
3 411.182495 239.418335
3 413.819153 234.473328
3 403.707489 231.901672
3 400.737488 226.710007
3 413.612488 235.225006
3 410.577515 241.533340
3 399.190002 226.941666
0 406.954987 232.186661
3 407.382507 239.913330
3 423.570007 252.633331
3 419.660004 244.264999
3 416.422485 243.301666
3 405.092499 243.526672
3 399.494995 227.809998
3 425.487488 247.973328
3 417.247498 238.130005
3 404.010010 226.781662
3 411.234985 237.021667
0 422.582489 244.363327
3 413.452515 243.311661
3 420.042511 248.278336
3 404.329987 222.518326
3 405.385010 237.970001
3 410.285004 245.101669
3 418.197510 238.399994
3 416.862488 239.613327
3 410.552490 239.581665
3 401.597504 235.955002
3 420.015015 240.789993
0 427.890015 243.463333
3 406.822510 234.366669
3 406.345001 241.878326
3 414.730011 241.486664
3 405.067505 235.036667
3 419.402496 243.163330
3 410.222504 232.991669
3 421.752502 242.803329
3 406.679993 233.710007
3 403.917511 231.896667
3 399.282501 230.595001
0 418.892487 235.380005
3 410.932495 237.363327
3 416.450012 243.228333
3 412.602509 240.705002
3 408.487488 240.501663
3 412.492493 243.143326
3 406.047485 239.238327
3 403.149994 232.600006
3 406.062500 232.048340
3 417.290009 234.835007
3 427.547485 239.994995
0 422.972504 241.699997
3 415.212494 247.404999
3 419.357513 241.316666
3 415.839996 240.820007
3 414.864990 233.080002
3 407.162506 239.656662
3 414.200012 244.398331
3 408.127502 239.365005
3 417.007507 242.139999
3 402.934998 239.136673
3 404.302490 232.058334
0 422.777496 246.786667
3 424.410004 253.906662
3 400.447510 224.843338
3 424.767487 233.558334
3 418.549988 247.541672
3 408.097504 224.604996
3 412.712494 252.490005
3 407.554993 226.153336
3 409.195007 238.940002
3 401.234985 230.296661
3 412.987488 248.813339
0 421.482513 245.133331
0 412.005005 227.596664
4 377.250000 258.071655
4 371.470001 273.338348
4 383.917511 276.723328
4 374.977509 269.808319
4 378.867493 266.173340
4 379.100006 275.649994
4 379.847504 265.579987
4 357.472504 252.666672
4 379.834991 267.486664
4 378.067505 277.815002
0 414.507507 235.876663
4 382.265015 270.643341
4 371.190002 263.420013
4 367.290009 259.056671
4 371.779999 270.131653
4 381.552490 262.109985
4 372.390015 263.673340
4 390.012512 263.283325
4 383.457489 258.166656
4 379.672485 278.378326
4 383.612488 277.820007
0 423.144989 246.206665
4 388.375000 274.523346
4 389.322510 258.338348
4 374.839996 262.464996
4 383.992493 271.885010
4 385.347504 269.415009
4 387.867493 278.938324
4 382.837494 255.429993
4 381.747498 266.970001
4 370.757507 268.248322
4 386.554993 286.035004
0 425.334991 241.583328
4 372.712494 264.459991
4 386.442505 249.888336
4 366.774994 281.713348
4 369.970001 271.625000
4 382.704987 275.316681
4 373.172485 265.266663
4 377.795013 279.223328
4 379.767487 276.386658
4 389.917511 278.343323
4 379.262512 286.363342
0 413.287506 232.600006
4 379.592499 268.746674
4 372.752502 261.976654
4 380.119995 262.356659
4 381.765015 274.635010
4 389.535004 278.826660
4 369.972504 255.279999
4 387.067505 280.429993
4 382.837494 268.663330
4 377.114990 269.336670
4 372.377502 260.981659
0 426.597504 237.899994
4 368.152496 249.843338
4 376.910004 261.121674
4 389.167511 267.255005
4 386.067505 278.190002
4 389.734985 275.128326
4 364.487488 261.739990
4 375.559998 264.363342
4 380.982513 285.170013
4 381.342499 281.161652
4 373.980011 270.693329
0 432.427490 248.083328
4 378.727509 267.801666
4 381.577515 267.126678
4 378.277496 271.345001
4 377.292511 275.160004
4 367.457489 271.181671
4 374.937500 261.863342
4 376.660004 252.521667
4 372.942505 249.453339
4 382.464996 274.154999
4 379.412506 271.750000
0 414.197510 227.156662
4 386.912506 276.220001
4 365.612488 257.823334
4 388.619995 288.331665
4 382.137512 272.540009
4 369.179993 268.173340
4 388.109985 274.839996
4 377.660004 246.638336
4 382.924988 263.266663
4 375.279999 264.500000
4 378.367493 272.276672
0 421.369995 240.550003
4 378.097504 266.353333
4 377.434998 271.406677
4 378.332489 264.668335
4 375.752502 265.591675
4 388.982513 257.980011
4 380.704987 260.933319
4 389.092499 281.403320
4 383.402496 270.236664
4 384.214996 272.828339
4 381.570007 261.684998
0 420.667511 243.136673
4 377.507507 268.913330
4 369.845001 276.221680
4 371.135010 267.506653
4 374.967499 264.111664
4 359.135010 277.133331
4 384.725006 277.683319
4 379.320007 261.880005
4 377.707489 248.315002
4 382.524994 256.703339
4 384.984985 265.660004
0 435.222504 261.559998
0 428.612488 254.196671
5 394.381653 229.705002
5 394.855011 235.901672
5 401.244995 238.386673
5 395.108337 242.176666
5 395.552490 238.990005
5 397.097504 233.381668
5 392.443329 230.056671
5 403.685822 241.210007
5 398.555847 237.429993
5 400.602509 241.738327
0 419.760010 238.293335
5 408.142487 245.103333
5 406.375824 241.460007
5 395.152496 231.880005
5 391.350830 227.744995
5 395.893341 238.553329
5 398.966675 234.453339
5 392.548340 238.970001
5 395.372498 243.068329
5 399.622498 238.263336
5 397.467499 242.146667
0 418.709991 233.199997
5 391.048340 226.353333
5 392.858337 228.908340
5 395.397491 238.573334
5 391.282501 224.544998
5 397.409180 237.088333
5 402.265015 237.526672
5 391.209991 233.056671
5 393.590820 234.391663
5 404.304169 239.309998
5 402.924988 238.218338
0 425.549988 249.416672
5 398.117493 240.605835
5 395.670013 232.281662
5 400.415009 237.503326
5 393.079987 232.639999
5 403.959991 236.623337
5 396.293335 242.339996
5 397.012512 227.413330
5 405.367493 243.589996
5 406.838745 242.393326
5 402.575012 239.056671
0 421.292511 236.676666
5 399.776672 238.630005
5 389.917511 233.845001
5 388.921661 225.918335
5 398.491943 239.361115
5 385.989990 224.225006
5 400.845001 241.824997
5 395.750000 233.666672
5 396.337494 240.833328
5 386.311676 223.728333
5 408.457489 249.753326
0 422.934998 238.649994
5 396.593323 238.948334
5 390.786255 236.911667
5 394.382507 232.793335
5 396.600006 236.013336
5 394.859985 233.266663
5 389.532501 230.721664
5 392.265015 228.191666
5 391.612488 235.456665
5 401.334991 242.001663
5 407.883331 243.576660
0 417.869995 237.813339
5 405.979156 244.073334
5 394.228333 227.816666
5 406.040009 244.948334
5 407.535004 242.683334
5 399.302490 238.363327
5 400.170013 238.876663
5 395.449158 227.463333
5 390.209167 232.716660
5 409.424988 248.238327
5 404.392487 242.789993
0 423.515015 251.623337
5 399.476257 236.669998
5 399.510010 237.794998
5 408.127502 247.422501
5 402.872498 243.108337
5 405.855011 243.848328
5 401.847504 241.873337
5 392.318756 229.970001
5 393.475006 237.951660
5 394.350006 237.986664
5 400.122498 236.750000
0 417.302490 230.850006
5 397.547485 228.211670
5 401.225006 235.913330
5 390.849152 238.419998
5 397.942505 249.750000
5 401.584991 239.764999
5 397.392487 230.758331
5 399.209991 238.643326
5 405.697510 240.678329
5 395.002502 241.190002
5 397.222504 236.046661
0 426.519989 241.789993
5 386.040009 225.713333
5 395.957489 235.453339
5 401.082489 234.456665
5 401.012512 232.350006
5 410.682495 252.608337
5 392.102509 228.440002
5 386.423340 223.588333
5 410.059998 244.686661
5 408.880829 248.313339
5 399.325012 238.273331
0 413.549988 239.320007
0 424.295013 245.973328
6 357.437500 280.131653
6 362.225006 283.616669
6 359.533325 278.146667
6 361.697510 286.488342
6 359.459991 286.006653
6 363.159180 272.883331
6 361.206665 270.583344
6 352.027496 277.309998
6 366.666656 269.420013
6 360.877502 280.001099
0 414.747498 234.389999
6 359.722504 271.026672
6 357.512512 278.078339
6 364.079987 286.013336
6 361.027496 270.339996
6 357.910004 268.333344
6 359.722504 284.420013
6 359.872498 271.561676
6 359.478333 281.679993
6 361.660004 278.236664
6 366.839172 279.196655
0 413.309998 232.229996
6 359.945007 276.890015
6 356.119995 278.850006
6 371.428345 295.963348
6 352.059998 265.079987
6 366.437500 284.343323
6 355.266663 275.661652
6 355.047485 282.518341
6 362.404175 280.406677
6 358.768341 271.959991
6 359.004181 283.260010
0 419.075012 243.330002
6 359.597504 278.359985
6 353.992493 265.993347
6 357.107513 268.390015
6 361.875000 284.195007
6 358.467499 279.808319
6 371.277496 294.646667
6 354.820007 272.403320
6 356.283752 265.188324
6 362.140015 279.973328
6 360.272491 282.266663
0 420.502502 238.229996
6 366.567505 285.643341
6 365.209991 283.671661
6 360.794159 276.329987
6 360.693329 287.748901
6 367.372498 281.195007
6 365.277496 288.516663
6 355.012512 270.991669
6 353.932495 266.433319
6 362.952515 283.776672
6 353.610840 274.171661
0 413.084991 236.639999
6 364.899994 280.706665
6 367.907501 275.138336
6 361.765015 286.613342
6 362.750000 281.228333
6 362.084991 287.011658
6 370.282501 288.809998
6 366.717499 273.471680
6 363.160004 280.054993
6 345.130005 260.211670
6 358.419159 284.271667
0 421.047485 243.226669
6 358.092499 286.128326
6 366.385010 284.536652
6 356.466675 274.821655
6 362.202515 276.948334
6 360.266663 272.661652
6 353.369995 263.103333
6 365.005829 287.051666
6 362.524994 286.966675
6 358.695007 273.410004
6 365.012512 279.769989
0 430.362488 247.283340
6 358.717926 277.451111
6 355.407501 267.056671
6 359.152496 276.061676
6 364.033325 283.671661
6 358.119995 284.264435
6 353.947510 280.769989
6 352.315002 274.156677
6 367.851654 284.054993
6 357.320007 276.029999
6 370.880829 286.464447
0 419.087494 249.860001
6 359.470001 283.016663
6 358.672485 275.701660
6 362.177490 278.028320
6 362.100006 277.081665
6 359.677490 276.015015
6 356.152496 276.484985
6 367.750000 279.468323
6 358.885834 276.666656
6 356.816681 265.716675
6 362.640015 277.200012
0 413.065002 236.470001
6 366.875824 281.019989
6 366.464996 283.565002
6 365.412506 286.323334
6 361.052490 278.410004
6 367.357513 286.503326
6 362.467499 280.345001
6 358.629181 276.735565
6 360.755005 271.140015
6 357.440002 282.576660
6 354.035004 263.608337
0 411.915009 235.220001
0 429.492493 247.429993
7 357.717499 282.531677
7 347.105011 263.176666
7 352.822510 271.466675
7 348.652496 275.496674
7 357.739990 287.788330
7 352.529999 271.404999
7 351.547485 285.898895
7 352.350006 286.302216
7 363.554993 285.403320
7 358.320007 288.476654
0 421.825012 237.570007
7 349.959991 273.311676
7 357.687500 280.241669
7 348.097504 285.878326
7 361.267487 262.350006
7 359.328339 283.333344
7 352.095001 287.926666
7 350.157501 274.459991
7 349.652496 275.863342
7 350.225006 282.623322
7 352.274994 294.676666
0 422.362488 240.929993
7 353.972504 274.353333
7 359.174988 282.531677
7 351.062500 263.556671
7 352.779999 276.238342
7 355.142487 282.214996
7 357.167511 281.973328
7 354.825012 280.496674
7 356.679993 279.623322
7 347.312500 283.534454
7 360.605011 280.686676
0 413.587494 240.846664
7 355.377502 282.980011
7 359.448334 266.948334
7 353.562500 277.106659
7 351.747498 273.700012
7 356.105011 279.268341
7 358.329987 282.393341
7 347.420013 264.228333
7 343.149994 279.329987
7 352.890015 286.733337
7 355.100006 274.519989
0 422.470001 239.303329
7 351.742493 282.947784
7 351.317505 289.398346
7 349.614990 282.404999
7 347.087494 282.021667
7 348.565002 299.156677
7 352.524994 272.196655
7 354.450012 284.023346
7 351.187500 298.084442
7 358.157501 293.933319
7 348.049988 294.821655
0 421.797485 243.050003
7 358.530823 293.156677
7 351.855011 290.503326
7 344.845001 266.333344
7 366.467499 287.253326
7 350.942505 274.943329
